0,51.509,-0.16105,-0.015172,0.044056,-1.5429
0.5,51.509,-0.16105,0.14358,-0.016836,-2.899
1,51.509,-0.16105,0.23706,0.011612,-1.0735
1.5,51.509,-0.16105,0.50401,-0.015352,-0.52665
2,51.509,-0.16105,0.76021,0.0065217,-0.87659
2.5,51.509,-0.16105,0.98218,0.011055,-0.094834
3,51.509,-0.16105,1.2413,0.013886,0.25833
3.5,51.509,-0.16105,1.238,-0.018897,0.77921
4,51.509,-0.16104,1.2466,-0.0093623,-2.2853
4.5,51.509,-0.16104,1.2485,-0.0027266,-1.0339
5,51.509,-0.16104,1.2373,0.0045833,-0.4502
5.5,51.509,-0.16104,1.2664,-0.025809,0.33904
6,51.509,-0.16104,1.2293,0.034461,-1.4255
6.5,51.509,-0.16104,1.262,0.030898,1.9008
7,51.509,-0.16104,1.2667,-0.01254,-0.21389
7.5,51.509,-0.16104,1.2557,0.013298,1.1181
8,51.509,-0.16104,1.235,0.002814,-1.7686
8.5,51.509,-0.16104,1.2564,-0.0038532,-2.6235
9,51.509,-0.16104,1.2582,0.039297,-1.875
9.5,51.509,-0.16104,1.2679,0.038187,5.9937
10,51.509,-0.16104,1.2332,0.038403,3.6846
10.5,51.509,-0.16104,1.2467,0.01432,1.6526
11,51.509,-0.16104,1.271,0.00049163,1.4877
11.5,51.509,-0.16104,1.2559,0.033012,-0.0033736
12,51.509,-0.16104,1.2582,-0.0086367,-0.16718
12.5,51.509,-0.16104,1.2421,-0.016985,0.36062
13,51.509,-0.16104,1.2371,0.0011195,-1.1208
13.5,51.509,-0.16104,1.2442,0.010265,-1.8734
14,51.509,-0.16104,1.2656,0.01331,-1.5505
14.5,51.509,-0.16104,1.2458,-0.042239,1.1729
15,51.509,-0.16104,1.2509,-0.034016,-2.8238
15.5,51.509,-0.16104,1.2276,-0.013221,-5.0155
16,51.509,-0.16104,1.2154,-0.0037613,-2.8119
16.5,51.509,-0.16104,1.2398,-0.0097352,-0.24611
17,51.509,-0.16104,1.2082,-0.00070568,-1.6129
17.5,51.509,-0.16104,1.2372,-0.003863,-2.408
18,51.509,-0.16104,1.2489,0.0056967,-1.7681
18.5,51.509,-0.16104,1.2316,-0.010466,-0.83222
19,51.509,-0.16104,1.2405,0.0026929,-1.4511
19.5,51.509,-0.16104,1.2529,0.015695,2.4213
20,51.509,-0.16104,1.26,-0.014522,1.0345
20.5,51.509,-0.16104,1.24,0.0063872,-0.35693
21,51.509,-0.16104,1.231,0.017955,-1.3414
21.5,51.509,-0.16104,1.2335,0.01024,3.7728
22,51.509,-0.16104,1.2569,-0.027377,-1.2608
22.5,51.509,-0.16104,1.2414,-0.018716,-2.347
23,51.509,-0.16104,1.2566,-0.019686,1.6334
23.5,51.509,-0.16104,1.2054,0.025476,1.2031
24,51.509,-0.16104,1.2387,0.0071441,-2.7392
24.5,51.51,-0.16104,1.232,-0.0079594,-0.017425
25,51.51,-0.16104,1.2516,-0.0072621,1.2065
25.5,51.51,-0.16104,1.2882,-0.092684,-0.44503
26,51.51,-0.16104,1.2719,0.0020796,-0.1913
26.5,51.51,-0.16104,1.2496,-0.0247,-3.9842
27,51.51,-0.16104,1.2131,-0.0091003,-1.1053
27.5,51.51,-0.16104,1.2372,-0.052899,3.4704
28,51.51,-0.16104,1.253,-0.032141,-0.51131
28.5,51.51,-0.16104,1.24,-0.037097,0.49894
29,51.51,-0.16104,1.2473,-0.046713,-4.123
29.5,51.51,-0.16104,1.2403,-0.028259,-2.5533
30,51.51,-0.16104,1.2518,-0.0053407,-2.9668
30.5,51.51,-0.16104,1.2541,-0.02927,-1.11
31,51.51,-0.16104,1.2542,-0.012077,1.549
